"% Correct",""
"+ Add User to Group","+ Ба гурӯҳ ҳамроҳ намудани корбар"
"+ Create a New Form","+ Кушодани варақаи нав"
"+ Create a New Group","+ Таъсис додани гурӯҳи нав"
"+ Create a New User","+ Таъсис додани корбари нав"
"About",""
"Accuracy","Дақиқӣ"
"Accuracy Level","Сатҳи дақиқӣ"
"Accuracy Level:",""
"Activity",""
"Add Class",""
"Add New User","Илова кардани корбари нав"
"Add Student",""
"Add User to Group","Ба гурӯҳ ҳамроҳ намудани корбар"
"An update is available. Be sure to first sync your data before installing the update. If you have not done this, click `Cancel`. If you are ready to install the update, click `Yes`","Таҷдид мумкин аст. Қабл аз сабт кардани функсияҳои нав  маълумоти худро  ҳамгомсозӣ кунед. Агар чунин накарда бошед, калимаи `Лағв`-ро зер кунед. Агар барои насб кардани навгониҳо омода ҳастед, калимаи `Ҳа`-ро зер кунед."
"Applying Updates...","Система таҷдид шуда истодааст "
"April",""
"Are you sure you want to restore this backup? It will wipe any data already in Tangerine.",""
"Are you sure you want to start a form response?","Дар ҳақиқат шумо пур кардани варақаро оғоз карданиед?"
"Are you sure you would like to exit the form?",""
"August",""
"Average",""
"Average Correct",""
"Average Correct (%)",""
"Backup directory",""
"Before continuing, let's review this info to make sure you registered with the right device info.",""
"Camera authorized.",""
"Case","Парванда"
"Cases","Парвандаҳо"
"Check for Update","Таҷдидро санҷед"
"Checking",""
"Checking For Updates...","Санҷиши таҷдид рафта истодааст."
"Choose a task report from one of the following selections:",""
"Choose type...",""
"Choose which case type","Кадом намуди парвандаро интихоб кунед"
"Class Grouping",""
"Class Size",""
"Class grouping",""
"Click a Picture","Аксеро (расмеро) пахш кунед. "
"Click on a percentile to view related feedback.",""
"Click the play button to get started.","Барои сар кардан тугмаи 'старт'-ро зер кунед. "
"Click to Download","Барои боргирӣ кардан инро зер кунед."
"Close","Махкам кардан"
"Close the application completely and re-open.",""
"Complete","Пурра"
"Completed?",""
"Concerning",""
"Confirm New Password","Рамзи навро тасдиқ кунед"
"Confirm Password","Рамзро тасдиқ кунед"
"Confirm Password is required",""
"Continue",""
"Correct",""
"Could Not Contact Server.","Бо сервер пайваст нашуд."
"Could Not Create User","Корбари нав таъсис дода нашуд."
"Could Not Generate APK","АРК-и нав таъсис дода нашуд."
"Could Not Generate PWA","PWA таъсис дода нашуд."
"Could Not Load List Of Forms","Руйхати варақаҳо кушода нашуд."
"Create",""
"Create Form","Варақаи нав кушоед. "
"Create New Case",""
"Creating new case...",""
"Current",""
"Curriculum",""
"DATA QUERIES",""
"Date and Time","Таърихи рӯз ва вақт"
"Day",""
"Day View",""
"December",""
"Device ID",""
"Differences",""
"Distance from reference","Фосила аз истинод (ишора)"
"Do you have a Device QR code to scan?",""
"Docs Not Uploaded","Ҳуҷҷатҳо замима нашудаанд"
"Docs Uploaded","Ҳуҷҷатҳо замима шуданд"
"Does the above info look like the right device info?",""
"Done! Please exit the app and restart.",""
"Download CSV","CSV-ро гиред"
"Download your APK","АРК-и худро гиред."
"EXPORT DATA FOR ALL USERS"," ҲАМАИ МАЪЛУМОТРО БА КОРБАРОН РАВОН КУНЕД"
"Edit Item","Элементро таҳрир кунед"
"Email","Бо почтаи электронӣ фиристед. "
"Enter your response to above question here","Ҷавоби саволи дар боло зикршударо ба ин ҷо ворид кунед. "
"Error Downloading File","Дар гирифтани файл ғалат шуд"
"Error restoring db ",""
"Event",""
"Export Backup",""
"Export Data","Маълумотро равон кунед"
"Export Data creates a backup of all of your records and saves it to your device.",""
"Failed to download application configuration file",""
"February",""
"Feedback",""
"File Stored At","Ҷои файл дар "
"File restored from ",""
"Filter","Филтр кунед"
"Find Case",""
"Finished restoring backups. Please wait for indexing to complete.",""
"First Name","Ном"
"Form",""
"Form Id","Рақами мушаххаси варақа"
"Form Name","Номи варақа"
"Form Title","Сарлавҳаи варақа"
"Forms","Варақаҳо"
"Generate APK/PWA","APK/PWA таъсис диҳед"
"Generating CSV","CSV таъсис дода шуда истодааст."
"Geolocation authorized.",""
"Good",""
"Great",""
"Great! Use this QR scanner below to scan the code in.",""
"Group","Гурӯҳ"
"Group Created Succesfully","Гурӯҳ бомуваффақият таъсис дода шуд."
"Group Details","Мушаххасоти гурӯҳ"
"Group Name","Номи гурӯҳ"
"Grouping Report",""
"Help","Кумак"
"Home",""
"ISSUES",""
"If APK (running on a tablet): Place files (encrypted database backup) or directories (non-encrypted database backups) in the Documents/Tangerine/restore directory. Press the button below to start the restore process.",""
"If PWA (running on a computer and/or in a web browser): Press the button below and choose the directory where the backup files are stored. This will start the restore process.",""
